10048.9,9295.3,8939,8720.4,8641.9,8672,8813.5,9240,10112.9,10862.8,11287.7,11386.5,11054.1,10833.1,10498,10345.7,10540.7,11162.5,12150,12061.1,11933.7,11888.5,11592,10651.2
9766.5,9062,8751.1,8556.3,8421.5,8548.3,8765.7,9505.8,10581.4,11526.6,11889.4,11934.4,11664.8,11302,11047.9,10881.7,11092,11656,12372.9,12128.7,11895.1,11820.4,11489.5,10603.1
9666.1,9043.4,8625.9,8503.7,8410.2,8537.8,8710.6,9478.9,10476,11415.2,11657.2,11733.1,11448.1,11062.2,10730.7,10466.4,10648.6,11050.7,11867.6,11612.2,11458.1,11432.8,11033.8,10226.6
9349.9,8691.9,8430.2,8230.4,8211.3,8258.3,8480.4,9207,10114.2,10845.5,10983.8,11038.5,10825,10496.9,10203.7,10065.7,10299.9,10727.8,11498.1,11285.6,11170.9,11094.3,10763.5,9965.6
9128.8,8529.3,8259.3,8074.7,7953.7,8040.9,8236.9,8852.1,9785.3,10490.2,10740.5,10703.4,10581.2,10204.9,9935.2,9689.8,9891.8,10390.1,11089.7,10980.7,10885.4,10839.9,10574.5,9812
8962.2,8270.8,7947.3,7801.6,7697.8,7721.3,7867.4,8405.5,9326.3,9789.9,9929.1,9861.6,9565.5,9076,8881.6,8753.7,8867.2,9308.6,9853.3,9763.3,9766.5,9652.1,9787,9728.7
9644.7,8761.7,8118.8,7722.8,7610,7649.5,7608.9,7746.5,8202.1,8638.3,8939.2,8986.1,8818,8514.1,8408.8,8348.1,8575,9050.9,9734.3,9729.6,9565.5,9544.1,9419.2,8971
8361.9,7819.5,7516.6,7362.3,7298.3,7362.4,7400.2,7546.5,8108.3,8783.4,9178.8,9111.4,8918.4,8674.8,8387.7,8421.2,8540.7,9100,9724.4,9670.7,9574.5,9600.4,9463.8,8965.5
8288.5,7737.5,7476.2,7342.2,7278.8,7311.5,7392.2,7501.2,8170.5,8591,8885.2,8820.3,8566,8394.6,8053.2,7989.8,8262.7,8717.5,9596,9667.6,9622,9643.2,9433.3,8946.1
8314.9,7810.6,7565.6,7359.4,7358.5,7398.2,7483.4,7672.4,8332.2,8793.9,9126.2,9158.3,8996.2,8731,8467.2,8433,8629,9091.5,10082.4,10077.1,9970.3,9947.3,9788.9,9146.3
